ID_MUNICIPIO,PARTIDO,TX_APROVACAO_5ANO,TX_REPROVACAO_5ANO,TX_ABANDONO_5ANO,TX_APROVACAO_9ANO,TX_REPROVACAO_9ANO,TX_ABANDONO_9ANO
3115359,PATRIOTA,1.0,0.0,0.0,1.0,0.0,0.0
3115474,PSL,1.0,0.0,0.0,1.0,0.0,0.0
3115607,DEM,1.0,0.0,0.0,1.0,0.0,0.0
3115805,PSD,1.0,0.0,0.0,0.868,0.019,0.113
3115904,PL,0.898,0.102,0.0,0.953,0.047,0.0
3116001,PSDB,1.0,0.0,0.0,1.0,0.0,0.0
3116159,AVANTE,0.986,0.014,0.0,0.976,0.012,0.012
3116209,PSDB,1.0,0.0,0.0,0.95,0.05,0.0
3116605,PSB,1.0,0.0,0.0,1.0,0.0,0.0
3116902,PL,1.0,0.0,0.0,1.0,0.0,0.0
3117009,PT,1.0,0.0,0.0,1.0,0.0,0.0
3117306,MDB,0.991,0.009,0.0,1.0,0.0,0.0
3117405,PSDB,1.0,0.0,0.0,0.97,0.0,0.03
3117504,MDB,1.0,0.0,0.0,0.968,0.032,0.0
3117603,MDB,1.0,0.0,0.0,1.0,0.0,0.0
3117801,MDB,1.0,0.0,0.0,1.0,0.0,0.0
3117836,PP,1.0,0.0,0.0,1.0,0.0,0.0
3117876,SOLIDARIEDADE,0.988,0.012,0.0,1.0,0.0,0.0
3118007,MDB,0.9,0.098,0.002,0.961,0.037,0.002
3118304,DEM,0.968,0.032,0.0,0.931,0.066,0.003
3118403,PODE,1.0,0.0,0.0,0.969,0.031,0.0
3118809,PL,1.0,0.0,0.0,0.982,0.0,0.018
3119104,MDB,0.996,0.0,0.004,0.987,0.0,0.013
3119203,PSC,1.0,0.0,0.0,0.972,0.028,0.0
3119302,PATRIOTA,1.0,0.0,0.0,0.979,0.0,0.021
3119401,PSDB,0.995,0.003,0.002,0.996,0.004,0.0
3119500,PL,1.0,0.0,0.0,0.977,0.011,0.012
3119609,PSB,1.0,0.0,0.0,0.931,0.0,0.069
3119955,PSD,1.0,0.0,0.0,1.0,0.0,0.0
3120151,PT,1.0,0.0,0.0,0.969,0.0,0.031
3120201,DEM,0.993,0.007,0.0,1.0,0.0,0.0
3120409,PP,0.947,0.053,0.0,0.889,0.056,0.055
3120508,PSD,1.0,0.0,0.0,1.0,0.0,0.0
3120706,AVANTE,1.0,0.0,0.0,0.968,0.032,0.0
3120805,PSDB,0.988,0.012,0.0,1.0,0.0,0.0
3121209,SOLIDARIEDADE,1.0,0.0,0.0,0.97,0.0,0.03
3121258,PMN,0.858,0.142,0.0,0.943,0.057,0.0
3121506,PTB,0.944,0.056,0.0,0.732,0.268,0.0
3121605,DEM,0.995,0.005,0.0,1.0,0.0,0.0
3122009,PT,1.0,0.0,0.0,0.909,0.091,0.0
3122306,PSC,0.966,0.034,0.0,0.99,0.008,0.002
3122355,PL,1.0,0.0,0.0,1.0,0.0,0.0
3122470,PP,1.0,0.0,0.0,1.0,0.0,0.0
3123205,PSD,0.949,0.051,0.0,0.913,0.087,0.0
3123403,AVANTE,1.0,0.0,0.0,0.955,0.0,0.045
3123601,PV,0.975,0.021,0.004,1.0,0.0,0.0
3123700,PL,1.0,0.0,0.0,0.875,0.031,0.094
3124104,SOLIDARIEDADE,0.994,0.001,0.005,0.939,0.033,0.028
3124203,PDT,0.978,0.022,0.0,0.958,0.0,0.042
