ID_MUNICIPIO,TX_APROVACAO_5ANO,TX_REPROVACAO_5ANO,TX_ABANDONO_5ANO,TX_APROVACAO_9ANO,TX_REPROVACAO_9ANO,TX_ABANDONO_9ANO
3505203,1.0,0.0,0.0,0.989,0.011,0.0
3505500,0.998,0.002,0.0,0.973,0.027,0.0
3505609,0.993,0.007,0.0,0.993,0.007,0.0
3505708,0.971,0.029,0.0,0.99,0.01,0.0
3505906,0.998,0.002,0.0,1.0,0.0,0.0
3506003,0.989,0.011,0.0,0.954,0.046,0.0
3506706,0.978,0.022,0.0,0.929,0.071,0.0
3506904,0.993,0.007,0.0,0.981,0.019,0.0
3507001,0.997,0.003,0.0,0.982,0.008,0.01
3507456,0.947,0.053,0.0,0.947,0.053,0.0
3507506,0.995,0.005,0.0,0.993,0.005,0.002
3507803,0.993,0.007,0.0,0.946,0.054,0.0
3507902,1.0,0.0,0.0,0.976,0.024,0.0
3508009,0.983,0.017,0.0,0.958,0.042,0.0
3508207,1.0,0.0,0.0,0.979,0.021,0.0
3508504,0.976,0.023,0.001,0.927,0.073,0.0
3508603,0.984,0.016,0.0,0.889,0.067,0.044
3509205,0.99,0.009,0.001,0.983,0.014,0.003
3509304,0.99,0.0,0.01,1.0,0.0,0.0
3509403,0.996,0.004,0.0,1.0,0.0,0.0
3509452,1.0,0.0,0.0,1.0,0.0,0.0
3509502,0.97,0.029,0.001,0.956,0.038,0.006
3509601,0.988,0.012,0.0,0.974,0.021,0.005
3509700,0.998,0.002,0.0,0.977,0.017,0.006
3509957,0.887,0.113,0.0,0.952,0.048,0.0
3510104,1.0,0.0,0.0,1.0,0.0,0.0
3510153,0.978,0.011,0.011,1.0,0.0,0.0
3510203,0.996,0.004,0.0,0.993,0.007,0.0
3510302,1.0,0.0,0.0,0.988,0.003,0.009
3510401,0.988,0.01,0.002,0.973,0.027,0.0
3510500,0.999,0.001,0.0,0.998,0.002,0.0
3510708,0.991,0.009,0.0,0.986,0.014,0.0
3510906,0.966,0.034,0.0,1.0,0.0,0.0
3511003,1.0,0.0,0.0,1.0,0.0,0.0
3511102,0.991,0.009,0.0,0.991,0.006,0.003
3511300,0.993,0.007,0.0,0.994,0.0,0.006
3511508,1.0,0.0,0.0,1.0,0.0,0.0
3511607,0.974,0.026,0.0,0.985,0.011,0.004
3511706,0.99,0.01,0.0,0.982,0.018,0.0
3512001,0.995,0.005,0.0,1.0,0.0,0.0
3512100,1.0,0.0,0.0,1.0,0.0,0.0
3512209,0.944,0.056,0.0,1.0,0.0,0.0
3512308,1.0,0.0,0.0,0.879,0.121,0.0
3512704,0.985,0.015,0.0,0.887,0.075,0.038
3512803,0.962,0.038,0.0,0.971,0.025,0.004
3512902,1.0,0.0,0.0,1.0,0.0,0.0
3513009,0.976,0.021,0.003,0.932,0.062,0.006
3513108,0.971,0.029,0.0,0.969,0.031,0.0
3513207,0.979,0.021,0.0,0.884,0.116,0.0
3513405,0.983,0.013,0.004,0.965,0.02,0.015
3513504,0.956,0.042,0.002,0.974,0.024,0.002
3513702,0.976,0.024,0.0,0.97,0.02,0.01
3513900,1.0,0.0,0.0,0.99,0.0,0.01
3514106,1.0,0.0,0.0,1.0,0.0,0.0
3514304,0.969,0.031,0.0,0.973,0.027,0.0
3514403,0.997,0.003,0.0,1.0,0.0,0.0
3514601,1.0,0.0,0.0,0.993,0.007,0.0
3514908,1.0,0.0,0.0,0.995,0.005,0.0
3514924,1.0,0.0,0.0,1.0,0.0,0.0
3515004,0.999,0.0,0.001,0.984,0.0,0.016
3515103,0.993,0.0,0.007,0.929,0.0,0.071
3515129,1.0,0.0,0.0,1.0,0.0,0.0
3515509,0.952,0.048,0.0,0.955,0.045,0.0
3515608,1.0,0.0,0.0,1.0,0.0,0.0
3515707,0.989,0.01,0.001,0.997,0.0,0.003
3515806,1.0,0.0,0.0,0.909,0.091,0.0
3516853,1.0,0.0,0.0,0.962,0.013,0.025
3516903,1.0,0.0,0.0,1.0,0.0,0.0
3517505,0.945,0.055,0.0,0.955,0.045,0.0
3517604,1.0,0.0,0.0,0.952,0.048,0.0
3517703,1.0,0.0,0.0,0.947,0.053,0.0
3517901,1.0,0.0,0.0,0.97,0.015,0.015
3518404,0.993,0.007,0.0,0.977,0.02,0.003
3518602,0.998,0.0,0.002,0.983,0.009,0.008
3518701,0.983,0.011,0.006,0.964,0.004,0.032
3518859,0.99,0.0,0.01,0.947,0.032,0.021
3519055,1.0,0.0,0.0,0.977,0.023,0.0
3519071,0.982,0.018,0.0,1.0,0.0,0.0
3519105,1.0,0.0,0.0,1.0,0.0,0.0
3519253,0.987,0.013,0.0,0.932,0.068,0.0
3519402,1.0,0.0,0.0,1.0,0.0,0.0
3519808,1.0,0.0,0.0,0.987,0.013,0.0
3520103,0.973,0.027,0.0,0.97,0.008,0.022
3520202,1.0,0.0,0.0,0.964,0.036,0.0
3520400,0.986,0.014,0.0,0.966,0.034,0.0
3520426,1.0,0.0,0.0,0.973,0.027,0.0
3520905,0.993,0.007,0.0,1.0,0.0,0.0
3521002,0.967,0.031,0.002,0.956,0.044,0.0
3521200,1.0,0.0,0.0,1.0,0.0,0.0
3521309,1.0,0.0,0.0,1.0,0.0,0.0
3521903,1.0,0.0,0.0,1.0,0.0,0.0
3522109,0.971,0.029,0.0,0.98,0.02,0.0
3522406,0.998,0.002,0.0,0.987,0.01,0.003
3522703,1.0,0.0,0.0,0.98,0.0,0.02
3523206,0.938,0.062,0.0,0.939,0.045,0.016
3523404,0.962,0.038,0.0,0.979,0.019,0.002
3523503,0.991,0.009,0.0,0.957,0.026,0.017
3523602,0.994,0.006,0.0,1.0,0.0,0.0
3524105,0.994,0.0,0.006,0.882,0.075,0.043
3524204,1.0,0.0,0.0,1.0,0.0,0.0
3524303,1.0,0.0,0.0,0.99,0.005,0.005
3524709,0.997,0.003,0.0,0.999,0.001,0.0
3524907,0.8,0.2,0.0,0.986,0.014,0.0
3525102,0.943,0.055,0.002,0.909,0.041,0.05
